"filename", "language", "YAML", "Dart", "Markdown", "Swift", "Groovy", "C++", "Properties", "XML", "JSON", "HTML", "Kotlin", "comment", "blank", "total"
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/domain/model/product.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/domain/repository/product_repository.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/domain/use_case/delete_product_use_case.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/domain/use_case/get_all_products_use_case.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/domain/use_case/get_product_by_id.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/domain/use_case/get_products_by_name_use_case.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/domain/use_case/insert_product_use_case.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/domain/use_case/update_product_use_case.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/data/datasources/local/entity/table_entity.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/data/datasources/local/entity/table_order_entity.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/data/datasources/local/table_local_datasource.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/data/datasources/local/table_order_local_datasource.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/data/mapper/table_mapper.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/data/repository/table_repository_impl.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/domain/model/table.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/domain/repository/table_repository.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/domain/use_case/delete_table_use_case.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/domain/use_case/get_all_tables_use_case.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/domain/use_case/get_table_by_id_use_case.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/domain/use_case/insert_table_use_case.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/table/domain/use_case/update_table_use_case.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/main.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/ramidmour/development/flutter_order_test_task/pubspec.yaml", "YAML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/ramidmour/development/flutter_order_test_task/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 16, 6, 60
"/Users/ramidmour/development/flutter_order_test_task/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"Total", "-", 19, 642, 5, 19, 89, 1, 8, 126, 180, 38, 3, 93, 254, 1477
